neutral;20.07.2016 04:07;The latest Nicholas Linde's Film Blog!  thedarktower sdcc;[{u'indices': [63, 76], u'text': u'thedarktower'}, {u'indices': [77, 82], u'text': u'sdcc'}]
neutral;20.07.2016 04:28;The latest Take2RadioCrew!  sdcc thedarktower;[{u'indices': [51, 56], u'text': u'sdcc'}, {u'indices': [57, 70], u'text': u'thedarktower'}]
neutral;20.07.2016 04:15;The latest The GuayaGeek Daily!  Thanks to    sdcc geek;[{u'indices': [98, 103], u'text': u'sdcc'}, {u'indices': [104, 109], u'text': u'geek'}]
neutral;20.07.2016 04:15;The latest TheTVKing!  Thanks to    rncincle sdcc;[{u'indices': [98, 107], u'text': u'rncincle'}, {u'indices': [108, 113], u'text': u'sdcc'}]
negativ;20.07.2016 04:01;There are copies of Charlie the Choo-Choo at SDCC and it's gonna be so hard for me to get one ;[]
neutral;20.07.2016 04:18;They're practically showing StarTrekBeyond already here at SDCC ;[{u'indices': [28, 43], u'text': u'StarTrekBeyond'}, {u'indices': [60, 65], u'text': u'SDCC'}]
neutral;20.07.2016 04:16;This could be the year to participate! SDCC ;[{u'indices': [39, 44], u'text': u'SDCC'}]
negativ;20.07.2016 04:09;This isn't good ComicCon2016  ;[{u'indices': [16, 29], u'text': u'ComicCon2016'}]
neutral;20.07.2016 04:30;This shit is happening I am.powwrless to stop it haha. Should be hilarious though. ;[]
positiv;20.07.2016 04:14;This will probably come in handy ;[]
neutral;20.07.2016 04:02;Time for gathering SDCC stuff together, then a boat load of retweets before bed!;[{u'indices': [19, 24], u'text': u'SDCC'}]
neutral;20.07.2016 04:19;Tomorrow's SDCC;[]
neutral;20.07.2016 04:08;"Toy Hype USA originally shared: 

First Look: Mattel SDCC2016 Exclusive MastersOfTheUniverse SheRa 11"" Figure... ";[{u'indices': [46, 53], u'text': u'Mattel'}, {u'indices': [54, 63], u'text': u'SDCC2016'}, {u'indices': [74, 95], u'text': u'MastersOfTheUniverse'}, {u'indices': [96, 102], u'text': u'SheRa'}]
neutral;20.07.2016 04:03;Toynami's Second Wave of SDCC Exclusives - Limited Edition Pre-Orders  via ;[]
neutral;20.07.2016 04:25;"'Twas the night before SDCC2016, &amp; all thru the apartment, not a creature was stirring bc we're watching Deadpool! ";[{u'indices': [23, 32], u'text': u'SDCC2016'}, {u'indices': [110, 119], u'text': u'Deadpool'}]
neutral;20.07.2016 04:23;Ugh def an avoid DT scenario shaping up around here. SDCC2016  ;[{u'indices': [53, 62], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:02;Unboxing The SDCC Arcade Edition TMNT Action Figures  ;[]
positiv;20.07.2016 04:17;Very excited to be heading down to San Diego Comic Con tomorrow! SDCC;[{u'indices': [65, 70], u'text': u'SDCC'}]
neutral;20.07.2016 03:58;'Vixen' Season 2 Sets 'Legends of Tomorrow' Cast (And a Surprise Return) [SDCC 2016] ;[]
neutral;20.07.2016 03:58;'Vixen' Season 2 Sets 'Legends of Tomorrow' Cast (And a Surprise Return) [SDCC 2016]: Vi...  /via ;[]
neutral;20.07.2016 03:58;'Vixen' Season 2 Sets 'Legends of Tomorrow' Cast (And a Surprise Return) [SDCC 2016]: Vixen fans were saddene... ;[]
neutral;20.07.2016 03:58;'Vixen' Season 2 Sets 'Legends of Tomorrow' Cast (And a Surprise Return) [SDCC 2016]: Vixen fans were saddene... ;[]
neutral;20.07.2016 04:26;VOTE FOR STELENA  ;[]
neutral;20.07.2016 04:17;vote for stelena if you're not obese  ;[]
negativ;20.07.2016 04:24;vote for stelena, y'all get enough delena bullshit and it's always the same questions and answers.  ;[]
negativ;20.07.2016 04:00;Vote for this headline! NSFW 'Ash vs Evil Dead' red band trailer deemed too gory for ComicCon:  ;[{u'indices': [85, 94], u'text': u'ComicCon'}]
neutral;20.07.2016 04:12;vote stelena just because... stelena ;[]
neutral;20.07.2016 04:09;Wait.... and  you guys will be at SDCC too?!? ;[{u'indices': [62, 67], u'text': u'SDCC'}]
positiv;20.07.2016 04:18;WANT!  . . . Stuck in Seattle again. ;[]
negativ;20.07.2016 04:09;Was gonna start packing, realized I had to do laundry first. The sleepless nights of SDCC begins.;[{u'indices': [85, 90], u'text': u'SDCC'}]
positiv;20.07.2016 03:59;"We got two different SDCC pops in at work today and man, the 6"" one is soooo ugly but I love it lol";[]
positiv;20.07.2016 04:28;"We hope to see you at SDCC! We will likely be at the following TV panels: 
Colony
DeadOfSummer
OUAT
TheStrain
The100 
&amp; more TBD";[{u'indices': [22, 27], u'text': u'SDCC'}, {u'indices': [76, 83], u'text': u'Colony'}, {u'indices': [84, 97], u'text': u'DeadOfSummer'}, {u'indices': [98, 103], u'text': u'OUAT'}, {u'indices': [104, 114], u'text': u'TheStrain'}, {u'indices': [115, 122], u'text': u'The100'}]
neutral;20.07.2016 04:18;"We will be at comic con tomorrow! Where's the party's at Wednesday and Thursday! We have the Rum!!
SDCC sdccparty";[{u'indices': [99, 104], u'text': u'SDCC'}, {u'indices': [105, 115], u'text': u'sdccparty'}]
neutral;20.07.2016 04:00;"We've added SDCC signings for WB &amp; Fox: Bob's Burgers, Gotham, The 100, Supergirl, Fantastic Beasts &amp; so much more: ";[{u'indices': [12, 17], u'text': u'SDCC'}]
neutral;20.07.2016 04:04;"What should I ask  stars    &amp; executive producer StevenKane at SDCC TheLastShip TNT";[{u'indices': [106, 117], u'text': u'StevenKane'}, {u'indices': [121, 126], u'text': u'SDCC'}, {u'indices': [127, 139], u'text': u'TheLastShip'}, {u'indices': [140, 144], u'text': u'TNT'}]
negativ;20.07.2016 04:04;What? No more sucky teen wolf wifi? I'll survive, is not like the wifi was that great. ;[]
neutral;20.07.2016 04:09;What?! TheExpanse Season 2  SDCC2016 syfy ;[{u'indices': [7, 18], u'text': u'TheExpanse'}, {u'indices': [30, 39], u'text': u'SDCC2016'}, {u'indices': [40, 45], u'text': u'syfy'}]
neutral;20.07.2016 04:29;Who am I going to see at      know I'll see you guys there! SDCC SDCC2016;[{u'indices': [125, 130], u'text': u'SDCC'}, {u'indices': [131, 140], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:19;Who's going to preview night tomorrow at SDCC? I'll be on my own exploring. SDCC2016 ;[{u'indices': [41, 46], u'text': u'SDCC'}, {u'indices': [77, 86], u'text': u'SDCC2016'}]
positiv;20.07.2016 04:07;Who's ready for ComicCon ??? I'll be EmCeeing the capcom booth!  Stop by, say hi and check out our awesome programming. SDCC2016;[{u'indices': [16, 25], u'text': u'ComicCon'}, {u'indices': [51, 58], u'text': u'capcom'}, {u'indices': [122, 131], u'text': u'SDCC2016'}]
negativ;20.07.2016 04:25;why is trash winning  ;[]
neutral;20.07.2016 03:58;Winter, I mean SDCC tweets are coming;[]
neutral;20.07.2016 03:59;"WiredCafe returns for 9th yr to SDCC2016 International  &lt;&lt; come see me to train your brain to control droids!!";[{u'indices': [0, 10], u'text': u'WiredCafe'}, {u'indices': [33, 42], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:28;Wonder Woman's Invisible Jet will be unveiled tomorrow! Win tix to the reveal party! Email Promotions to enter! SDCC;[{u'indices': [128, 133], u'text': u'SDCC'}]
positiv;20.07.2016 04:24;Would be so dope to go to SDCC2016 for my bday this weekend;[{u'indices': [26, 35], u'text': u'SDCC2016'}]
neutral;20.07.2016 04:14;Wray Wray. ;[]
neutral;20.07.2016 04:05;Y'all Vote Klayley!!!!! ;[]
neutral;20.07.2016 04:19;YEAH DUDE ;[]
positiv;20.07.2016 04:09;Yep, excited for this movie ;[]
positiv;20.07.2016 04:12;YES FKING LUCILLE ;[]
positiv;20.07.2016 04:14;Yes please! ;[]
positiv;20.07.2016 04:09;yoooooo I got my SDCC pass back B) now which one of you nerds wants to take me with ya;[]
negativ;20.07.2016 04:26;You know well who will win why even do this shit.  ;[]
neutral;20.07.2016 04:21;You know,   +  will create quite a stink if you know what I mean. Welcome to SanDiego! SDCC SDCC2016;[{u'indices': [113, 122], u'text': u'SanDiego'}, {u'indices': [124, 129], u'text': u'SDCC'}, {u'indices': [130, 139], u'text': u'SDCC2016'}]
