neutral;24.07.2016 08:55;I've never been to an SDCC, but I've heard some yarns, I'll tell you what. Credulity bendsthemind ;[{u'indices': [22, 27], u'text': u'SDCC'}, {u'indices': [76, 86], u'text': u'Credulity'}, {u'indices': [87, 100], u'text': u'bendsthemind'}]
positiv;24.07.2016 08:51;Just watched the backstage party videos of Katheryn Winnick. I wanna go there too. Please. SDCC2016;[{u'indices': [91, 100], u'text': u'SDCC2016'}]
neutral;24.07.2016 08:52;Last 2 weeks ;[]
neutral;24.07.2016 08:51;Latest  | hello, hi, waving, sdcc2016, san diego comic con https://t.co/KbgPhWxa;[]
neutral;24.07.2016 08:53;LEGION TRAILER (SDCC) ;[]
positiv;24.07.2016 08:55;"Lets take a look at some of the incredible Harley Quinn cosplay we saw at SDCC2016 ! IGNAccess
 gamedev";[{u'indices': [74, 83], u'text': u'SDCC2016'}, {u'indices': [86, 96], u'text': u'IGNAccess'}, {u'indices': [121, 129], u'text': u'gamedev'}]
neutral;24.07.2016 08:52;LOL        welcome ;[]
positiv;24.07.2016 08:54;LOVE~! hello, hi, waving, sdcc2016, san diego comic con ;[]
neutral;24.07.2016 08:56;Marvel Announces The Cast Of BLACK PANTHER Including THE WALKING DEAD's Danai Gurira) ;[]
positiv;24.07.2016 08:56;Marvellous.! can't wait of this fall..! ChangeTheDestiny ;[{u'indices': [40, 57], u'text': u'ChangeTheDestiny'}]
neutral;24.07.2016 08:53;me after seeing/reading SDCC moments and announcements: ;[]
neutral;24.07.2016 08:54;Me not being at SDCC2016 like ;[{u'indices': [16, 25], u'text': u'SDCC2016'}]
neutral;24.07.2016 08:53;Me wondering when the  will drop their SDCC podcast episode... ;[]
positiv;24.07.2016 08:50;More than ready ;[]
neutral;24.07.2016 08:50;Multipass? ;[]
positiv;24.07.2016 08:50;My body is ready  ;[]
neutral;24.07.2016 08:56;NEVER THOUGHT THAT THESE TWO HAS ACCENTS ;[]
neutral;24.07.2016 08:52;"New &amp; Trending! hello, hi, waving, sdcc2016, san diego comic con ResearchPreneur via Giphy  ";[{u'indices': [69, 85], u'text': u'ResearchPreneur'}]
neutral;24.07.2016 08:51;NEW DOCTOR STRANGE TRAILER!!  ;[]
neutral;24.07.2016 08:52;New post: Arrow Season 5 SDCC Promo ;[]
neutral;24.07.2016 08:53;New trending GIF tagged hello, hi, waving, sdcc2016, san diego comic con (  ) ;[]
neutral;24.07.2016 08:54;New trending GIF via Giphy  gif ;[{u'indices': [51, 55], u'text': u'gif'}]
neutral;24.07.2016 08:53;Newt ;[]
positiv;24.07.2016 08:56;Nice little insight into Season 7 here and love the  quote at the end. GoTAtlantic  ;[{u'indices': [79, 91], u'text': u'GoTAtlantic'}]
neutral;24.07.2016 08:53;Nigga in extreme right looks like the older version of Alexis Sanchez ;[]
positiv;24.07.2016 08:54;Oh WOW ;[]
neutral;24.07.2016 08:54;ok this does look cool but i still dk why they went with bendysnap carrotstick  ;[]
negativ;24.07.2016 08:56;omg i forgot about the EW SDCC portraits!!!!;[]
neutral;24.07.2016 08:55;On the waterfront. terry SDCC2016 fratting;[{u'indices': [19, 25], u'text': u'terry'}, {u'indices': [26, 35], u'text': u'SDCC2016'}, {u'indices': [36, 45], u'text': u'fratting'}]
positiv;24.07.2016 08:51;Ooh! More trailers to check out this morning - thank you SDCC ComicCon2016;[{u'indices': [57, 62], u'text': u'SDCC'}, {u'indices': [63, 76], u'text': u'ComicCon2016'}]
positiv;24.07.2016 08:55;Ooooh  lucky us!  ;[]
positiv;24.07.2016 08:53;"Orphan Black&amp;The Originals cast. Best and best. that's all I wanted to say SDCC2016";[{u'indices': [79, 88], u'text': u'SDCC2016'}]
positiv;24.07.2016 08:50;Probably my favourite news from SDCC ;[]
negativ;24.07.2016 08:56;Sad I didn't get to go to SDCC, but there are so many other things afoot over here, that I wouldn't have had time to enjoy it properly.;[]
neutral;24.07.2016 08:53;SDCC 2016: Ghost Rider Confirmed for Marvel's Agents of S.H.I.E.L.D.  via ;[]
neutral;24.07.2016 08:51;"SDCC 2016: Once Upon A Time - Lana Parrilla &amp; Jared Gilmore ";[]
neutral;24.07.2016 08:54;SDCC AskSherlockHow is going about Moriarity?How can Moriarity fake his dead?;[{u'indices': [0, 5], u'text': u'SDCC'}, {u'indices': [6, 21], u'text': u'AskSherlockHow'}]
neutral;24.07.2016 08:55;"SDCC: ""LEGO Batman Movie"" Trailer Sees Return of Will Arnett's Brick Knight | Comic Book Resources  via ";[]
negativ;24.07.2016 08:52;Seriously. Why isn't  at SDCC2016? Huge missed opportunity. Especially showing off VR  you want to get on that?;[{u'indices': [33, 42], u'text': u'SDCC2016'}, {u'indices': [92, 95], u'text': u'VR'}]
positiv;24.07.2016 08:56;she's queen of 2k16 SDCC wtf ;[]
neutral;24.07.2016 08:53;SHOT ;[]
positiv;24.07.2016 08:54;So amazing ;[]
neutral;24.07.2016 08:52;So I went to sdcc to the Impractical Jokers Party which was awesome! Saw all the guys and was liiiiterally 1 ft away from Murr at 1 point;[{u'indices': [13, 18], u'text': u'sdcc'}]
negativ;24.07.2016 08:52;So many things gg on at the SDCC2016 I cant keep up;[{u'indices': [28, 37], u'text': u'SDCC2016'}]
positiv;24.07.2016 08:53;So what did you all think of this news? Are you excited? ;[]
neutral;24.07.2016 08:55;"Sophie Turner and Iwan Rheon at the Game of Thrones SDCC 2016 Panel



-G ";[]
neutral;24.07.2016 08:52;"Still waiting for a photo of  &amp;  at SDCC";[{u'indices': [60, 65], u'text': u'SDCC'}]
neutral;24.07.2016 08:55;"Tallahassee 
1 Pokemon
2 DNCLeaks
3 SDCC
4 Jimbo Fisher
5 Gucci
6 WhatIdDoFor1000Dollars
7 ThatPersonWho ";[{u'indices': [15, 23], u'text': u'Pokemon'}, {u'indices': [26, 35], u'text': u'DNCLeaks'}, {u'indices': [38, 43], u'text': u'SDCC'}, {u'indices': [69, 92], u'text': u'WhatIdDoFor1000Dollars'}, {u'indices': [95, 109], u'text': u'ThatPersonWho'}]
neutral;24.07.2016 08:51;That second picture is a the tower of terror switched up lol ? ;[]
neutral;24.07.2016 08:53;Thats how i died ;[]
neutral;24.07.2016 08:51;The Edge On Marketing  is out!  Stories via   sdcc marketing;[{u'indices': [96, 101], u'text': u'sdcc'}, {u'indices': [102, 112], u'text': u'marketing'}]
neutral;24.07.2016 08:53;The latest CPC-Consulting Daily!  sdcc arrow;[{u'indices': [57, 62], u'text': u'sdcc'}, {u'indices': [63, 69], u'text': u'arrow'}]
neutral;24.07.2016 08:52;The latest El Market Intelligence Diario!  Thanks to  travel sdcc;[{u'indices': [91, 98], u'text': u'travel'}, {u'indices': [99, 104], u'text': u'sdcc'}]
neutral;24.07.2016 08:53;The latest Gem Group Headlines!  Thanks to    sdcc entertainment;[{u'indices': [107, 112], u'text': u'sdcc'}, {u'indices': [113, 127], u'text': u'entertainment'}]
neutral;24.07.2016 08:51;The latest Radio Freedom!  forthehorde sdcc2016;[{u'indices': [50, 62], u'text': u'forthehorde'}, {u'indices': [63, 72], u'text': u'sdcc2016'}]
neutral;24.07.2016 08:52;The latest Synchronicity   sdcc2016 wonderwoman75;[{u'indices': [65, 74], u'text': u'sdcc2016'}, {u'indices': [75, 89], u'text': u'wonderwoman75'}]
neutral;24.07.2016 08:55;The latest The Albareh Daily!  Thanks to    marvelsdcc sdcc2016;[{u'indices': [107, 118], u'text': u'marvelsdcc'}, {u'indices': [119, 128], u'text': u'sdcc2016'}]
neutral;24.07.2016 08:56;The latest The DotNET Times!  Thanks to    kolkata sdcc2016;[{u'indices': [103, 111], u'text': u'kolkata'}, {u'indices': [112, 121], u'text': u'sdcc2016'}]
neutral;24.07.2016 08:51;The latest The high-tech Daily FR/EN!  Thanks to   sdcc2016 wonderwoman75;[{u'indices': [102, 111], u'text': u'sdcc2016'}, {u'indices': [112, 126], u'text': u'wonderwoman75'}]
neutral;24.07.2016 08:52;The latest The Italy Property Daily!  sdcc ewcomiccon;[{u'indices': [61, 66], u'text': u'sdcc'}, {u'indices': [67, 78], u'text': u'ewcomiccon'}]
neutral;24.07.2016 08:51;The latest The Party Pals Daily!  Thanks to    sdcc comiccon;[{u'indices': [107, 112], u'text': u'sdcc'}, {u'indices': [113, 122], u'text': u'comiccon'}]
neutral;24.07.2016 08:52;The latest Today in HotelsLaconia !!  lp sdcc;[{u'indices': [61, 64], u'text': u'lp'}, {u'indices': [65, 70], u'text': u'sdcc'}]
positiv;24.07.2016 08:50;THE ONLY MARVEL CAST THAT MATTERS ;[]
neutral;24.07.2016 08:51;THE SCORE IS MAKING MY HEa HU ;[]
neutral;24.07.2016 08:52;"The Vampire Diaries cast at SDCC2016 

TVDForever TVDS8 tvd TVDFamily ComicCon2016 friendship tvdcast ";[{u'indices': [28, 37], u'text': u'SDCC2016'}, {u'indices': [40, 51], u'text': u'TVDForever'}, {u'indices': [52, 58], u'text': u'TVDS8'}, {u'indices': [59, 63], u'text': u'tvd'}, {u'indices': [64, 74], u'text': u'TVDFamily'}, {u'indices': [75, 88], u'text': u'ComicCon2016'}, {u'indices': [89, 100], u'text': u'friendship'}, {u'indices': [101, 109], u'text': u'tvdcast'}]
negativ;24.07.2016 08:51;The worst thing about all the SDCC in my feed is knowing that I lacked the mental ability to enjoy it when I was there.;[]
positiv;24.07.2016 08:52;These ComicCon2016 trailers are insane. DoctorStrange MarvelSDCC  ;[{u'indices': [6, 19], u'text': u'ComicCon2016'}, {u'indices': [41, 55], u'text': u'DoctorStrange'}, {u'indices': [56, 67], u'text': u'MarvelSDCC'}]
positiv;24.07.2016 08:53;theyre all so attractive im Sweatin ;[]
neutral;24.07.2016 08:53;This film is gonna be soooo trippy ;[]
positiv;24.07.2016 08:52;This I also saw coming and who better than Elizabeth Debicki as Ayesha? :) ;[]
positiv;24.07.2016 08:52;This is SO exciting! Nothing but great feedback at SDCC2016. Valerian muchexcites  ;[{u'indices': [51, 60], u'text': u'SDCC2016'}, {u'indices': [62, 71], u'text': u'Valerian'}, {u'indices': [72, 84], u'text': u'muchexcites'}]
positiv;24.07.2016 08:51;This looks amazing. ;[]
positiv;24.07.2016 08:56;This made my weekend! I can't wait ;[]
neutral;24.07.2016 08:53;Tsano Chad make sure don't make vedu Danai carry huni nemusoro in one scene  ;[]
neutral;24.07.2016 08:52;"TT NEW ZEALAND 20:52
1.MastermindNZ
2.TheBlockNZ
3.nzgather
4.6YearsOfOneDirection
5.Wonder Woman
6.SDCC2016
7.Chiefs";[{u'indices': [23, 36], u'text': u'MastermindNZ'}, {u'indices': [39, 50], u'text': u'TheBlockNZ'}, {u'indices': [53, 62], u'text': u'nzgather'}, {u'indices': [65, 86], u'text': u'6YearsOfOneDirection'}, {u'indices': [104, 113], u'text': u'SDCC2016'}]
neutral;24.07.2016 08:56;"Tyler: At the beggining Scott doesn't realize what his missing but when he does, he gets obsessed and tries to rescue Stiles
Teenwolf SDCC";[{u'indices': [125, 134], u'text': u'Teenwolf'}, {u'indices': [135, 140], u'text': u'SDCC'}]
neutral;24.07.2016 08:54;"Tyler: No he can't! There is only one alpha, 
Teenwolf SDCC";[{u'indices': [46, 55], u'text': u'Teenwolf'}, {u'indices': [56, 61], u'text': u'SDCC'}]
neutral;24.07.2016 08:52;TylerHoechlin Supergirl Interview SDCC Entertainment Weekly ;[{u'indices': [0, 14], u'text': u'TylerHoechlin'}, {u'indices': [15, 25], u'text': u'Supergirl'}]
negativ;24.07.2016 08:54;ugh I can't wait  ;[]
positiv;24.07.2016 08:52;VERY RARE toxie for sale TOMORROW ONLY at SDCC! Hurry before it's gone! Only $10,000!!!!   ;[{u'indices': [42, 47], u'text': u'SDCC'}]
neutral;24.07.2016 08:55;Vote for this headline!   Time for the  sdcc party!! ;[{u'indices': [60, 65], u'text': u'sdcc'}]
positiv;24.07.2016 08:52;WE EATIN GOOD TONITE ! ;[]
negativ;24.07.2016 08:50;well this is traumatic  ;[]
positiv;24.07.2016 08:52;WHAT A GREAT DAY ;[]
neutral;24.07.2016 08:51;"When I saw the clip with Aladdin &amp; Jafar I wondered if Jasmine was coming too ...  Aces!! OUAT ";[{u'indices': [106, 111], u'text': u'OUAT'}]
negativ;24.07.2016 08:53;"Whenever I hear ""Is She With You,"" I suddenly want to kick somebody's ass. Coincidence? ";[]
neutral;24.07.2016 08:51;WHERE THE HELL IS BUCKY?! ;[]
negativ;24.07.2016 08:56;Why must I be poor and not in California? SDCC I need you;[]
negativ;24.07.2016 08:51;why r u looking over there bae I'm right here ;[]
neutral;24.07.2016 08:51;Wonder Woman looks better than Justice League from the trailers anyway SDCC2016 DC;[{u'indices': [71, 80], u'text': u'SDCC2016'}, {u'indices': [81, 84], u'text': u'DC'}]
neutral;24.07.2016 08:50;"WONDER WOMAN

Starring

SOME FUCKING GUY

And

WONDER WOMAN ";[]
positiv;24.07.2016 08:52;WonderWoman puts her Lasso of Truth to good use in the SDCC2016 trailer:  ;[{u'indices': [0, 12], u'text': u'WonderWoman'}, {u'indices': [56, 65], u'text': u'SDCC2016'}]
neutral;24.07.2016 08:51;Yall . ;[]
neutral;24.07.2016 08:54;You need this framed in your room lol  ;[]
positiv;24.07.2016 08:53;Yyyyeessssssssssssss ;[]
positiv;25.07.2016 09:15;   Hoping to win this great competition - have  and also follow you. legosdcc sdcc;[{u'indices': [43, 47], u'text': u'win'}, {u'indices': [59, 71], u'text': u'competition'}, {u'indices': [103, 112], u'text': u'legosdcc'}, {u'indices': [113, 118], u'text': u'sdcc'}]
positiv;25.07.2016 09:13;   I follow, I  this message :-) Good luck everyone who has entered this competition legosdcc sdcc;[{u'indices': [103, 115], u'text': u'competition'}, {u'indices': [116, 125], u'text': u'legosdcc'}, {u'indices': [126, 131], u'text': u'sdcc'}]
negativ;25.07.2016 09:14;  lol wtf? ;[]
neutral;25.07.2016 09:03;"  me too specially after SDCC ;))";[]
positiv;25.07.2016 08:56;  There's awesome panels and screenings at sdcc and NYCC . c2e2 can barely get anything that awesome. :(;[{u'indices': [73, 78], u'text': u'sdcc'}, {u'indices': [83, 88], u'text': u'NYCC'}, {u'indices': [91, 96], u'text': u'c2e2'}]
positiv;25.07.2016 08:56;" ;) did you like the justice league footage they dropped at sdcc? ";[]
positiv;25.07.2016 09:22; + HowardChaykin +  +  +  GREAT! SDCC SDCC2016 ;[{u'indices': [16, 30], u'text': u'HowardChaykin'}, {u'indices': [88, 93], u'text': u'SDCC'}, {u'indices': [94, 103], u'text': u'SDCC2016'}]
positiv;25.07.2016 09:17; ANNNNNNNNNNNND nothing else matters until I see this movie wonderwoman sdcc2016;[{u'indices': [83, 95], u'text': u'wonderwoman'}, {u'indices': [96, 105], u'text': u'sdcc2016'}]
neutral;25.07.2016 09:07; any idea when SDCC exclusives will go on sale online? Looking to pick up a copy of the Magic: The Gathering promos. SDCC2016;[{u'indices': [128, 137], u'text': u'SDCC2016'}]
neutral;25.07.2016 09:19; did you know you were in the SDCC SPN panel intro??? ;[]
neutral;25.07.2016 09:11; first trailer at SDCC2016 JusticeLeague  ;[{u'indices': [32, 41], u'text': u'SDCC2016'}, {u'indices': [42, 56], u'text': u'JusticeLeague'}]
positiv;25.07.2016 09:15; GoodLuckEveryone - like the magician says, pick any card - hoping its mine! fantasticbeasts wand hallh sdcc2016 beawizard;[{u'indices': [13, 30], u'text': u'GoodLuckEveryone'}, {u'indices': [90, 106], u'text': u'fantasticbeasts'}, {u'indices': [107, 112], u'text': u'wand'}, {u'indices': [113, 119], u'text': u'hallh'}, {u'indices': [120, 129], u'text': u'sdcc2016'}, {u'indices': [130, 140], u'text': u'beawizard'}]
neutral;25.07.2016 09:03; Hey guys, any chance you'll get the sdcc funimation Beerus pop vinyl atall?;[]
negativ;25.07.2016 09:04; Hi, Dan, our SDCC haul went up on Thursday night, sorry that wasn't one of the ones we have;[]
neutral;25.07.2016 09:10; I'm already getting ideas. ;[]
neutral;25.07.2016 09:07;" JUSTICE LEAGUE Trailer - Easter Eggs &amp; Things Missed SDCC video justice league trailer easter eggs";[{u'indices': [81, 86], u'text': u'SDCC'}, {u'indices': [87, 93], u'text': u'video'}, {u'indices': [94, 102], u'text': u'justice'}, {u'indices': [103, 110], u'text': u'league'}, {u'indices': [111, 119], u'text': u'trailer'}, {u'indices': [120, 127], u'text': u'easter'}, {u'indices': [128, 133], u'text': u'eggs'}]
negativ;25.07.2016 09:16; Not Emily, his wife. She went and stalked him at SDCC when she didnt need to be there, and she looked so out of place.;[]
positiv;25.07.2016 09:17; such a beautiful outfit!!  Stunning! I can't wait seeing you kicking assume again in s2 ;[]
positiv;25.07.2016 09:12; this looked amazing ;[]
neutral;25.07.2016 09:17;" Trailer du SDCC ""Meet Evil Herself"" en VOSTFR : ";[{u'indices': [23, 28], u'text': u'SDCC'}]
neutral;25.07.2016 09:21; well yeh, at least we got a pic y'know. seriously, if we got a least one at sdcc, I would have been satisfied for like 5 years -;[]
positiv;25.07.2016 09:17; Wishing you an awesome upcoming week Miss Volz! Hope your SDCC was good!;[]
neutral;25.07.2016 08:55;"""Can't let you do that StarFox"" starfoxsdcc2016sdcccosplay ";[]
neutral;25.07.2016 09:13;$15,000+ for a Funko Pop? Seriously? ;[{u'indices': [15, 21], u'text': u'Funko'}]
negativ;25.07.2016 08:53;*dead* ;[]
neutral;25.07.2016 08:57;[VIDEO] Kat and the cast of WynonnaEarp at the SDCC 2016 panel. (via kindaoffkilter on youtube) 1: ;[{u'indices': [28, 40], u'text': u'WynonnaEarp'}]
neutral;25.07.2016 09:04;2016 SDCC Exclusive Hasbro Star Wars Black Series Obi Wan Comic Con ;[]
neutral;25.07.2016 09:00;2016 SDCC Exclusive Hasbro Star Wars Black Series Obi Wan Comic Con ;[]
neutral;25.07.2016 09:02;2016 SDCC Exclusive Hasbro Star Wars Black Series Obi Wan Comic Con  StarWars ;[{u'indices': [92, 101], u'text': u'StarWars'}]
neutral;25.07.2016 09:17;2016 SDCC Exclusive Marvel Legends The Raft Set Spiderman (loose) Action figure  ;[]
positiv;25.07.2016 08:56;45 Awesome Photos of Marvel Toys at SDCC 2016  TX to IGN;[]
neutral;25.07.2016 09:00;A new heir to house Bolton. ;[]
neutral;25.07.2016 08:57;Actually Tom had to think as to whether or not he'd been shot. He also took a long time to come up with three. ;[]
neutral;25.07.2016 09:06;"Aliens -  Weaver Talks ""Aliens"" Future At SDCC Panel  aliens";[{u'indices': [77, 84], u'text': u'aliens'}]
neutral;25.07.2016 08:58;All the big news from SDCC last weekend ;[{u'indices': [22, 27], u'text': u'SDCC'}]
neutral;25.07.2016 08:58;Amanda with Mark and Tom at the Comic Con. SDCC ;[{u'indices': [43, 48], u'text': u'SDCC'}]
neutral;25.07.2016 09:06;"'American Horror Story' season 6 spoilers: Theme unveiled at the SDCC?; Emma Roberts teases ...: The show's e... ";[]
neutral;25.07.2016 09:06;"American Horror Story Season 6 Theme Hinted At SDCC; Horror Hospital, Experiments On ...: Did FX reveal the t... ";[]
negativ;25.07.2016 09:14;Are you at SDCC? Check out the  Fearless VR Experience by  This is so creepy. FXSDCC ;[{u'indices': [11, 16], u'text': u'SDCC'}, {u'indices': [47, 50], u'text': u'VR'}, {u'indices': [99, 106], u'text': u'FXSDCC'}]
negativ;25.07.2016 09:19;"As much I love Jensen &amp; Co, I am sad to see that apparently Jared was ''not enough'' to lead a solo panel SDCC NerdHQ";[{u'indices': [110, 115], u'text': u'SDCC'}, {u'indices': [116, 123], u'text': u'NerdHQ'}]
neutral;25.07.2016 09:07;At SDCC2016, we talked with RuthConnell, Supernatural's Rowena .   ;[{u'indices': [3, 12], u'text': u'SDCC2016'}, {u'indices': [29, 41], u'text': u'RuthConnell'}, {u'indices': [43, 56], u'text': u'Supernatural'}, {u'indices': [59, 66], u'text': u'Rowena'}]
positiv;25.07.2016 09:03;Aww cutie ;[]
positiv;25.07.2016 08:59;beautiful ;[]
neutral;25.07.2016 09:07;BENEDICT CUMBERBATCH | SDCC 2016 | What he says about Sherlock's Locks!! ;[]
neutral;25.07.2016 09:04;BenedictCumberbatch at SDCC2016 :-) (fr.  home for one night only so had to do an edit.... ;[{u'indices': [0, 20], u'text': u'BenedictCumberbatch'}, {u'indices': [24, 33], u'text': u'SDCC2016'}]
neutral;25.07.2016 09:22;Bone-Crunching New Footage From LUKE CAGE In Marvel And Netflix's SDCC Sizzle Reel ;[]
positiv;25.07.2016 09:00;Bonnie is the only good thing about it. Good. ;[]
neutral;25.07.2016 08:55;Bree Turner SDCC2016 Grimm ;[{u'indices': [12, 21], u'text': u'SDCC2016'}, {u'indices': [22, 28], u'text': u'Grimm'}]
neutral;25.07.2016 09:22;BTS of  interview with comicconhq. SDCC2016  Hilton San Diego Bayfront ;[{u'indices': [0, 4], u'text': u'BTS'}, {u'indices': [42, 51], u'text': u'SDCC2016'}]
neutral;25.07.2016 09:23;btw, which team are you? PokemonGO ;[{u'indices': [25, 35], u'text': u'PokemonGO'}]
positiv;25.07.2016 09:23;Bye SanDiegoComicCon! It was swell! See you all next year... SDCC ;[{u'indices': [4, 21], u'text': u'SanDiegoComicCon'}, {u'indices': [62, 67], u'text': u'SDCC'}]
neutral;25.07.2016 09:19;Bye sdcc2016 it's time for reality. ;[{u'indices': [4, 13], u'text': u'sdcc2016'}]
neutral;25.07.2016 09:09;Call of Duty's SDCC narrative panel is all about spaceships, backstory and Kit Harington  CallofDuty;[{u'indices': [113, 124], u'text': u'CallofDuty'}]
negativ;25.07.2016 09:10;Can't believe SDCC is over. Made it back after a 10+ hour drive thanks to various traffic and accidents along the way back.;[]
neutral;25.07.2016 09:22;CAPTAIN SWAN ;[]
positiv;25.07.2016 09:16;Catching up on all the sweet news from SDCC2016 and it's started well.  as Carol Danvers followed by the WonderWoman trailer;[{u'indices': [39, 48], u'text': u'SDCC2016'}, {u'indices': [117, 129], u'text': u'WonderWoman'}]
neutral;25.07.2016 09:03;Caught up on SDCC trailers, Justice League and King Arthur (Guy Ritchie does fantasy!?!YES!) highlights for me ;[{u'indices': [13, 18], u'text': u'SDCC'}]
neutral;25.07.2016 09:12;Check out Guardians Of The Galaxy Vol. 2 Marvel SDCC Exclusive Concept Art Print IN HAND   via ;[]
neutral;25.07.2016 09:12;Check out Mondo Exclusive Mega Man Capcom Lapel Pin SDCC 2016 One Up 1up Enamel Nintendo   via ;[]
neutral;25.07.2016 09:09;Check out SDCC 2016 DC PIN SET BATMAN SUPERMAN ROBIN REBIH WATCHMEN    via ;[]
neutral;25.07.2016 09:13;Check out SDCC 2016 DC PIN SET REBIH WATCHMEN TRINITY BATMAN SUPERMAN WONDER WOMAN ROBIN   via ;[]
neutral;25.07.2016 09:12;Check out SDCC 2016 Exclusive Hasbro Micronauts PHAROID Classics Set - In Hand + comic Hasbro  via ;[{u'indices': [87, 94], u'text': u'Hasbro'}]
neutral;25.07.2016 09:09;Check out SDCC 2016 HELLBOY DARK HORSE TOTE BAG MIGNOLA    via ;[]
neutral;25.07.2016 09:09;Check out Sdcc 2016 Mattel Mighty Minis Dean Ambrose Mattel  via ;[{u'indices': [53, 60], u'text': u'Mattel'}]
neutral;25.07.2016 09:09;Check out Sdcc KingdomHearts Unchained poster square Enix Disney   via ;[{u'indices': [10, 15], u'text': u'Sdcc'}, {u'indices': [16, 30], u'text': u'KingdomHearts'}]
neutral;25.07.2016 09:09;Check out Super 7 / MUTO He-Man Token / Coin SDCC 2016    via ;[]
neutral;25.07.2016 09:08;"Check out WonderWoman's badass official trailer SDCC2016  MORE &gt;&gt; ";[{u'indices': [10, 22], u'text': u'WonderWoman'}, {u'indices': [49, 58], u'text': u'SDCC2016'}]
neutral;25.07.2016 09:00;Claire Coffee SDCC2016 Grimm ;[{u'indices': [14, 23], u'text': u'SDCC2016'}, {u'indices': [24, 30], u'text': u'Grimm'}]
neutral;25.07.2016 09:04;"Cockles Pretty Please does any have any Pictures of Jensen &amp; Misha at SDCC2016 they can send me? Really want some for my TL.";[{u'indices': [0, 8], u'text': u'Cockles'}, {u'indices': [75, 84], u'text': u'SDCC2016'}]
neutral;25.07.2016 09:17;Cody and Dylan with a fan at SDCC ;[]
positiv;25.07.2016 09:20;CODY IS SO CUTE OMG I CRI ;[]
positiv;25.07.2016 09:11;Comic-Con keeping me busy this morning.... Must watch ALL the trailers! SDCC2016;[{u'indices': [72, 81], u'text': u'SDCC2016'}]
neutral;25.07.2016 09:15;"Comics JUSTICELEAGUE SDCC 2016 RECAP (20-24 Julio, 2016) [Pics, vids &amp; info]  ";[{u'indices': [0, 7], u'text': u'Comics'}, {u'indices': [8, 22], u'text': u'JUSTICELEAGUE'}, {u'indices': [23, 28], u'text': u'SDCC'}]
neutral;25.07.2016 09:06;Community Download: Which SDCC VR Experience Has You Most Excited?    via  VirtualReality vr;[{u'indices': [108, 123], u'text': u'VirtualReality'}, {u'indices': [124, 127], u'text': u'vr'}]
neutral;25.07.2016 09:05;"COSTUME N JACKETS
VIEW: 

SDCC2016 climatechange UpUpCronulla LaCourse SITG2016 0 ";[{u'indices': [49, 58], u'text': u'SDCC2016'}, {u'indices': [59, 73], u'text': u'climatechange'}, {u'indices': [74, 87], u'text': u'UpUpCronulla'}, {u'indices': [88, 97], u'text': u'LaCourse'}, {u'indices': [98, 107], u'text': u'SITG2016'}]
neutral;25.07.2016 09:16;Created by the crazy, scary cool  FXSDCC SDCC2016 AmericanHorrorStory VR ;[{u'indices': [48, 55], u'text': u'FXSDCC'}, {u'indices': [56, 65], u'text': u'SDCC2016'}, {u'indices': [66, 86], u'text': u'AmericanHorrorStory'}, {u'indices': [87, 90], u'text': u'VR'}]
positiv;25.07.2016 09:23;Cuteness!! ;[]
neutral;25.07.2016 09:23;EXACTLY ;[]
neutral;25.07.2016 08:57;Film news and updates is out!  Stories via  sdcc sdcc2016;[{u'indices': [73, 78], u'text': u'sdcc'}, {u'indices': [79, 88], u'text': u'sdcc2016'}]
neutral;25.07.2016 09:23;First Full Trailer Released For Fantastic Beasts And Where To Find Them:  EddieRedmayne ;[{u'indices': [97, 111], u'text': u'EddieRedmayne'}]
positiv;25.07.2016 09:21;From CaptainMarvel to Mantis: 12 badass women of the Marvel Cinematic Universe at SDCC2016  ;[{u'indices': [5, 19], u'text': u'CaptainMarvel'}, {u'indices': [83, 92], u'text': u'SDCC2016'}]
neutral;25.07.2016 09:09;funkopops  Duck Dodgers White Gamma SDCC 2016 Exclusive Funko Pop!  ;[{u'indices': [0, 10], u'text': u'funkopops'}]
neutral;25.07.2016 09:10;funkopops  Funko Pop! Dragon Ball Z Metallic Beerus + Card - SDCC 2016 Exclusive  ;[{u'indices': [0, 10], u'text': u'funkopops'}]
neutral;25.07.2016 09:16;"GAINED FREE 88 NEW FOLLOWERS   SDCC2016 Pagan TowerofTerror";[{u'indices': [54, 63], u'text': u'SDCC2016'}, {u'indices': [65, 71], u'text': u'Pagan'}, {u'indices': [73, 87], u'text': u'TowerofTerror'}]
positiv;25.07.2016 08:59;GOOD ;[]
positiv;25.07.2016 08:53;Good morning Monday! Catching up on all the SDCC2016 trailers and news - what are you most excited for?!;[{u'indices': [44, 53], u'text': u'SDCC2016'}]
positiv;25.07.2016 09:20;GOSH !!!!!!!! SPOILER !!!!!!! Opening of the Supernatural Panel at SDCC ;[{u'indices': [14, 22], u'text': u'SPOILER'}]
neutral;25.07.2016 09:22;Gotta go fast!  sdcc2016 sdcc sonic ;[{u'indices': [30, 39], u'text': u'sdcc2016'}, {u'indices': [40, 45], u'text': u'sdcc'}, {u'indices': [46, 52], u'text': u'sonic'}]
positiv;25.07.2016 09:07;Great new, original, and fresh intro for Marvel. Badass. ;[]
positiv;25.07.2016 09:16;"Great team!!!
TheOriginals SDCC2016 
 &amp;  
 ";[{u'indices': [14, 27], u'text': u'TheOriginals'}, {u'indices': [28, 37], u'text': u'SDCC2016'}]
